CLIENTE_ID, COMENTARIO, TIPO
"56","CH.DEVUELTO $1,999.89//PAGO CARGO DEL 20 % O.K.","CXC//23-JUL-09//LUCY"
"228","09/02/2010","SUSP_AUT"
"246","CHEQUE DEVUELTO PAGO CARGO DEL 20 % $4,329.11 O.K.","CXC//19-AGO-09//LUCY"
"270","O.K. PAGADO CH. DEVUELTO CON EL CARGO DEL 20% $1,578.87","CXC//11-08-09//LUCY"
"270","CH. DEVUELTO O.K PAGADO PAGO CARGOS POR 977.00","CXC//22-SEP-09//LUCY"
"270","09/02/2010","SUSP_AUT"
"342","CLIENTE DUPLICADO","CLIENTE DUPLICADO"
"362","09/02/2010","SUSP_AUT"
"368","CHEQUE DEVUELTO FUE ERROR DEL BANCO CUBIERTO O.K. $14,356.68","CXC//20-AGO-09//LUCY"
"397","16/02/2010","SUSP_AUT"
"419","16/02/2010","SUSP_AUT"
"471","09/02/2010","SUSP_AUT"
"482","credito cancelado, solo de contado. ","CXC 21/07/09"
"495","16/02/2010","SUSP_AUT"
"520","CH. DEVUELTO ,  O.K. PAGO CARGO DEL 20%","CXC//14-SEP-09//LUCY"
"548","CLIENTE MOROSO, SE CANCELO CREDITO","CXC"
"565","CHEQUE DEVUELTO PAGO ANTES DE QUE LLEGARA EL CHEQUE O.K.","CXC//03-JUL-09//LUCY"
"831","16/12/2009","SUSP_AUT"
"896","03/11/2009","SUSP_AUT"
"955","CH. DEVUELTO PRIMER CH. DEV. SIN EL CARGO DEL 20%","CXC//09-SEP-09//LUCY"
"956","03/12/2009","SUSP_AUT"
"963","CH. DEVUELTO//PAGO ANTICIPADO SIN CARGO 20%//O.K. AUTORIZADO","CXC// 18-JUL-09//LUC"
"1016","AUTORIZACION LIC. JOSE ANTONIO $200,000.00  29/01/2010","AUT-0001"
"1016","09/02/2010","SUSP_AUT"
"1017","09/02/2010","SUSP_AUT"
"1023","09/02/2010","SUSP_AUT"
"1027","CH. DEVUELTO SIN EL CARGO O.K. LUCY ULTIMA VEZ","CXC//10-SEP-09//LUCY"
"1033","09/02/2010","SUSP_AUT"
"1039","16/12/2009","SUSP_AUT"
"1089","NO PAGA CARGOS CHEQUE DEVUELTO  Y SE TARDA EN PAGARLOS//LUCY","CXC 17-JUL-09"
"1089","AUTORIZO FACTURA 15 DIAS LIC. RSL X UNICA OCASION U $38,000","CXC//09-OCT-09//LUCY"
"1176","BLOQUEO ISAURA LE DEBE $43 PESOS","CXC//05-AGOSTO-09//L"
"1187","FILIAL DE TODO DE YMPRESION","CXC/29-JUL-09//LUCY"
"1223","16/02/2010","SUSP_AUT"
"1265","CHEQUE DEVUELTO DEBE CARGO","CXC//03-SEP-09//LUCY"
"1265","ch. devuelto","CXC//08-OCT-09//LUCY"
"1265","CHEQUE DEVUELTO DEBE CARGO DEL 20 %","CXC//19-AGO-09//LUCY"
"1276","QUITAR ACEPTACION DE CH.SRA. CONSUELO POR EL VOLUMEN DE VTAS. TAN BAJO Y NO PAGO CARGOS","CXC//24-SEP-09//LUCY"
"1276","O.K. CHEQUE DEVUELTO PAGADO FALTA CARGO AUTORIZO LA SRA. CONSUELO 10%","CXC//25-AGO-09//LUCY"
"1324","CHEQUE DEVUELTO, O.K. PAGO CARGO 20 %","CXC/30-JUL-09//LUCY"
"1439","CHEQUE DEVUELTO PAGADO CON  CARGO DEL 20 % O.K.","CXC// 01-JUL-09//LUC"
"1439","CHEQUE DEVUELTO CON CARGO DEL 20% O.K.","CXC//01-JUL-09//LUCY"
"1468","CH. DEVUELTO PAGO CARGO DEL 20% O.K.","CXC//13-AGO-09//LUCY"
"1513","O.K. PAGADO SIN EL CARGO PAGO ANTICIPADO $7,630.07","CXC//10-08-09//LUCY"
"1513","06/11/2009","SUSP_AUT"
"1554","16/02/2010","SUSP_AUT"
"1615","BOLETINADO POR PROGRESO FILIAL DE PLASTYSUAX","CXC"
"1615","NO SE MANDO A VISITAR PARA ACEPTACION POR ESTAR BOLETINADO","CXC//2-OCT-09//LUCY"
"1690","05/11/2009","SUSP_AUT"
"1832","O.K. PAGADO CON EL CARGO DEL 20% $5,100.94","CXC//12-AGO-09//LUCY"
"1889","CHEQUE DEVUELTO PAGO ANTES O.K.","CXC//26-08-09//LUCY"
"1924","TARDO MAS DE 1 MES EN PAGAR 2 CHEQUES DEVUELTOS Y NUNCA PAGO CARGOS","CXC//10-SEP-09//LUCY"
"1924","NO RECIBIR CHEQUES","CXC//LUCY"
"1944","cheque devuelto no contestan","CXC//30-SEP-09//LUCY"
"2011","CH. DEVUELTO O.K. PAGO ANTICIPADO SIN EL 20%","CXC//07-SEP-09//LUCY"
"2011","ch. devuelto pendiente","CXC//08-OCT-09//LUCY"
"2011","CH. DEVUELTO O.K. PAGO CARGO DEL 20%","CXC//14-08-09//LUCY"
"2011","CH. DEVUELTO O.K. PAGO ANTICIPADO","CXC//14-AGO-09//LUCY"
"2024","16/12/2009","SUSP_AUT"
"2026","SOLO EL 50%","CXC "
"2026","09/02/2010","SUSP_AUT"
"2027","16/02/2010","SUSP_AUT"
"2029","16/02/2010","SUSP_AUT"
"2031","09/02/2010","SUSP_AUT"
"2033","16/02/2010","SUSP_AUT"
"2034","16/12/2009","SUSP_AUT"
"2042","NO SE PUEDE SURTIR NINGUN PRODUCTO SI NO ES SOLICITADO POR EL SR. PICCINI MEZA CARLO ----NADIE  MAS PUEDE PEDIR EN SU NOMBRE --- ","CARLOS ESPINO "
"2042","03/11/2009","SUSP_AUT"
"2065","12/11/2009","SUSP_AUT"
"2104","09/02/2010","SUSP_AUT"
"2124","18/11/2009","SUSP_AUT"
"2128","SE ABRE LINEA DE CREDITO, DEBE PAGAR INTERESE MORATORIOS, DEBE DAR FECHA DE PONERSE AL CORRIENTE, PROGRAMA DE PAGOS   5 SEMANAS.","AUTORIZACION LIC. JO"
"2128","09/02/2010","SUSP_AUT"
"2232","09/11/2009","SUSP_AUT"
"2340","CHEQUE DEVUELTO $15,521.73, PAGO ANTICIPADO SIN CARGOS O.K. AUTORIZADO","CXC// 21-JUL-09 //LU"
"2340","19/11/2009","SUSP_AUT"
"2407","EMILIANO ZAPATA #10 (CASA AMARILLA)","CXC 10-JUL-09"
"2444","CLIENTE MUY MALO, NO PAGA, NO ES SUJETO DE CREDITO, SOLO DE CONTADO Y EN EFECTIVO, DEBE A MUCHAS EMPRESAS  ","CARLOS ESPINO "
"2468","CH. DEVUELTO PAGO CARGO DEL 20% O.K.","CXC//06-OCT-09//LUCY"
"2468","CH. DEVUELTO NO PAGO CARGO DEL 20% PORQUE SU CHEQUE SE DEPOSITABA DESPUES","CXC//09-SEP-09//LUCY"
"2468","CH. DEVUELTO PAGO CARGO DEL 20% O.K.","CXC//13-AGO-09//LUCY"
"2468","16/02/2010","SUSP_AUT"
"2490","09/02/2010","SUSP_AUT"
"2514","ch. devuelto $4366.48 con el cargo","1 CXC//03-SEP-09//LU"
"2525","O.K. PAGADO CON EL CARGO 20%$2,105.70","CXC//13-AGO-09//LUCY"
"2525","cheque dev. ok. pagado unicamente pago el 10% del cargo porque reincide mucho 04-sep-09","CXC//13-AGOSTO-09//L"
"2525","CH. DEVULETO SIN EL CARGO PAGO ATICIPADO , O.K. LUCY","CXC//22-SEP-09//LUCY"
"2690","03/12/2009","SUSP_AUT"
"2848","CH. DEVUELTO , ACEPTO JAIME LO ESTA PAGANDO EN PAGITOS, ","CXC//24-JUL-09//LUCY"
"2866","03/11/2009","SUSP_AUT"
"2921","ACEPTACION DE CHEQUE","CXC// 5-AGOSTO-09//L"
"2959","SIGUIENTE CHEQUE REBOTADO COBRARLE CARGOS","CXC//07-08-09//LUCY"
"2959","O.K. PAGADO CH. DEV. SIN EL CARGO DEL 20%","CXC//07-AGO-09//LUCY"
"2959","09/02/2010","SUSP_AUT"
"3010","03/12/2009","SUSP_AUT"
"3061","09/02/2010","SUSP_AUT"
"3117","CLAVE DUPLICADA","CXC///20-AGO-09//LUC"
"3149","DEJO PAPEL CORTADO EN LA SUCURSAL DE  CALLE 4 (INFORMO GRISELDA)","08/09/2009  CARLOS E"
"3158","No ha pagado 20% de Ch.Dv. y del ultimo tampoco lo pago. VENDER SOLO DE EFECTIVO.","CXC 15/07/09"
"3188","ch. devuelto","CXC//5-OCT-09//LUCY"
"3228","16/02/2010","SUSP_AUT"
"3289","CHEQUE DEVUELTO PAGO CARGO DEL 20% O.K. LUCY $1,450.36","CXC//17-AGO-09//LUCY"
"3349","09/02/2010","SUSP_AUT"
"3396","16/12/2009","SUSP_AUT"
"3399","09/02/2010","SUSP_AUT"
"3407","EXTRICTAMENTE SOLO DE CONTADO","CARLOS ESPINO "
"3411","16/02/2010","SUSP_AUT"
"3412","09/02/2010","SUSP_AUT"
"3416","16/02/2010","SUSP_AUT"
"3418","26/11/2009","SUSP_AUT"
"3427","09/02/2010","SUSP_AUT"
"3429","23/11/2009","SUSP_AUT"
"3431","CH. DEVUELTO PAGO CARGO DEL 20 % O.K.","CXC//17-AGO-09//LUCY"
"3433","03/12/2009","SUSP_AUT"
"3437","16/02/2010","SUSP_AUT"
"3441","CH. DEVUELTO SIN CARGO PAGO ANTICIPADO O.K. LUCY","CXC//23-SEP-09//LUCY"
"3467","CLIENTE ANTERIOR DE CREDITO SE LE CANCELO POR ATRASO EN SUS PAGOS","CXC//LUCY//"
"3623","CHEQUE DEVUELT PAGO ANTES SIN EL CARGO DEL 20% O.K. LUCY","CXC//10-SEP-09//LUCY"
"3623","CHEQUE DEVUELTO PAGO ANTES SIN EL CARGO DEL 20% O.K. LUCY","CXC//15-SEP-09//LUCY"
"3623","23/11/2009","SUSP_AUT"
"3636","CH. DEVUELTO POR $5528.05 SIN CARGO PAGO ANTES, O.K. LUCY","CXC//04-AGOSTO-09//L"
"3636","ch. devuelto no contestan","CXC//8-OCT-09//LUCY"
"3648","24/11/2009","SUSP_AUT"
"3669","DEBE CHEQUES DEVUELTOS DESDE FEBRERO DEL 2009","CXC//10-08-09//LUCY"
"3671","16/02/2010","SUSP_AUT"
"3674","09/02/2010","SUSP_AUT"
"3678","03/11/2009","SUSP_AUT"
"3679","09/02/2010","SUSP_AUT"
"3681","24/11/2009","SUSP_AUT"
"3686","COBRARLE CARGO DEL 20 % PORQUE SIEMPRE PAGA EL 10%","CXC//04-AGO-09//LUCY"
"3686","CH. DEVUELTO POR $2910.14 PAGO CARGO DEL 10% O.K. LUCYPGO TOTAL $3,201.15","CXC//04-AGOSTO-09//L"
"3686","CH.DEV.PAGO CARGO DEL 20% $1,311.36, O.K.","CXC//31-AGO-09//LUCY"
"3713","CHEQUE DEVUELTO PAGO ANTICIPADO SIN EL CARGO DEL 20% O.K. LUCY","CXC//15-SEP-09//LUCY"
"3713","CH. DEV. PAGO ANTICIPADO SIN CARGO , O.K. LUCY","CXC//22-SEP-09//LUCY"
"3735","03/11/2009","SUSP_AUT"
"3738","16/12/2009","SUSP_AUT"
"3741","CLIENTE LIC. RAFAEL","CXC"
"3741","CH.DEVUELTO//PAGO ANTICIPADO SIN CARGO DEL 20%//O.K. AUTORIZADO","CXC//08-JUL-09//LUCY"
"3741","26/11/2009","SUSP_AUT"
"3748","16/02/2010","SUSP_AUT"
"3752","23/11/2009","SUSP_AUT"
"3777","ch. devuelto o.k. sin el cargo pago anticipado","CXC//29-SEP-09//LUCY"
"3779","16/02/2010","SUSP_AUT"
"3790","09/02/2010","SUSP_AUT"
"3815","CH. DEVUELTO PAGO ANTICIPADO SIN CARGO O.K. LUCY","CXC//22-SEP-09//LUCY"
"3852","16/02/2010","SUSP_AUT"
"3877","09/02/2010","SUSP_AUT"
"3884","05/11/2009","SUSP_AUT"
"3887","09/02/2010","SUSP_AUT"
"3890","03/11/2009","SUSP_AUT"
"3899","09/02/2010","SUSP_AUT"
"3900","16/12/2009","SUSP_AUT"
"3908","16/02/2010","SUSP_AUT"
"3920","18/11/2009","SUSP_AUT"
"3929","CHEQUE DEVUELTO NO PAGO CARGO 1ERA. VEZ.O.K. LUCY $15,182.43","CXC//19-AGO-09//LUCY"
"3932","06/11/2009","SUSP_AUT"
"3934","09/02/2010","SUSP_AUT"
"3936","09/02/2010","SUSP_AUT"
"4098","EN CONVENIO CON EL LIC. RAFAEL  SANCHEZ  EL CLIENTE SE MANEJARA CON EL PLAN 100/75   COMO SE HA VENIDO MANEJANDO ESTOS ULTIMOS TRES MESES 11/08/2009.","CARLOS ESPINO "
"4098","09/02/2010","SUSP_AUT"
"4101","CH. DEVUELTO PAGO ANTICIPADO SIN CARGOS O.K.","CXC//05-OCT-09//LUCY"
"4102","CH. DEVUELTO ESTA PAGANDO EN PAGITOS","CXC//23-JUL-09//LUCY"
"4150","09/02/2010","SUSP_AUT"
"4259","16/02/2010","SUSP_AUT"
"4280","09/02/2010","SUSP_AUT"
"4283","CHEQUES DEVUELTOS Y TARDA MUCHO EN PAGAR DE CREDITO","CXC//23-JUL-09//LUCY"
"4372","09/02/2010","SUSP_AUT"
"4413","2 CH. DEV SIN EL CARGO PAGO ANTICIPADO , O.K. LUCY","CXC//22-SEP-09//LUCY"
"4431","ch. devuelto","CXC//08-OCT-09//LUCY"
"4439","09/02/2010","SUSP_AUT"
"4677","UNICAMENTE VENDERLE DE CONTADO PORQUE TARDO MAS DE UN AÃ‘O EN PAGAR UN CHEQUE DEVUELTO","CXC//19-AGO-09//LUCY"
"4685","CH. DEVUELTO PAGADO NO PAGO CARGOS PRIMERA VEZ, O.K. LUCY","CXC//08-SEP-09//LUCY"
"4719","CANCELO C.DEL 20%LIC.RSL UNICA OCASION POR SU HISTORIAL Y SUS COMPRAS ","CXC//29-JUL-09//LUCY"
"4722","09/02/2010","SUSP_AUT"
"4761","CH. DEVUELTO PAGO ANTICIPADO SIN EL 20 % O.K.","CXC//13-AGO-09//LUCY"
"4761","CAMBIO A RODRIGUEZ CHAVEZ ROBERTO","CXC//JULIO-09//LUCY"
"4770","TIENE CHEQUE DEVUELTO $2,541.37 YA CON EL CARGO","CXC//22-SEP-09//LUCY"
"4790","09/02/2010","SUSP_AUT"
"4794","16/02/2010","SUSP_AUT"
"4819","03/11/2009","SUSP_AUT"
"4821","09/02/2010","SUSP_AUT"
"4845","09/02/2010","SUSP_AUT"
"4911","3 CHEQE DEVUELTOS EN EL MES PAGO CARGOS DEL 20 % O.K. LUCY","CXC//10-SEP-09//LUCY"
"4922","O.K. PAGADO CH. DEVUELTO CON EL CARGO DEL 20%$7,218.30","CXC//07/08/09//LUCY"
"4933","CH. DEVUELTO PAGO CARGO DEL 20% O.K.","CXC//02-OCT-09//LUCY"
"4963","09/02/2010","SUSP_AUT"
"4975","09/02/2010","SUSP_AUT"
"5012","16/02/2010","SUSP_AUT"
"5015","09/02/2010","SUSP_AUT"
"5022","SOLO SE LE VENDERA DE CONTADO ","COMENT-1"
"5023","24/11/2009","SUSP_AUT"
"5063","09/02/2010","SUSP_AUT"
"5094","09/02/2010","SUSP_AUT"
"5154","CH. DEVUELTO  , PAGO CARGO 20 % O.K.","CXC//29-SEP-09//LUCY"
"5191","ch. devuelto","CXC//08-OCT-09//LUCY"
"5209","16/02/2010","SUSP_AUT"
"5213","03/11/2009","SUSP_AUT"
"5214","09/02/2010","SUSP_AUT"
"5220","16/12/2009","SUSP_AUT"
"5224","16/12/2009","SUSP_AUT"
"5233","CH. DEVUELTO","CXC//14-AGOSTO-09//L"
"5233","2 CHEQUES DEVUELTROS FALTA CARGO DEL 20%","CXC//17-AGO-09//LUCY"
"5238","16/02/2010","SUSP_AUT"
"5239","16/02/2010","SUSP_AUT"
"5255","2 CHEQUES DEVUELTOS CON CARGOS.O.K.","CXC//2-OCT-09//LUCY"
"5261","09/02/2010","SUSP_AUT"
"5281","CAMBIO DE RAZON SOCIAL ","CAMBIO"
"5349","09/02/2010","SUSP_AUT"
"5353","UNICAMENTE UN PEDIDO TIPO G","CXC 16-JUL-09 AUTORI"
"5353","09/02/2010","SUSP_AUT"
"5396","CH. DEVUELTO PAGO ANTICIPADO SIN CARGO,UNICAMENTE COMISION 172 O.K.","CXC//13-AGO-09//LUCY"
"5404","CH. DEVUELTO PAGO ANTICIPADO SIN EL CARGO DEL 20%","CXC//07-SEP-09//LUCY"
"5404","CH. DEVUELTO CON CARGO DEL 20% O.K.","CXC//2-OCT-09//LUCY"
"5404","CH.DEVUELTO $1,023.22 PAGO CARGO 20% O.K.","CXC//20-JUL-09//LUCY"
"5406","09/02/2010","SUSP_AUT"
"5463","CLIENTE MOROSO, DEBE A DIVERSOS CLIENTES, NO ES SUJETO DE CREDITO.","CARLOS ESPINO "
"5484","CAMBIO DE RAZON SOCIAL ANTERIORMENTE ERA DTP PRESS COLOR DIGITAL, S.A. DE C.V. ","CAMBIO"
"5484","16/02/2010","SUSP_AUT"
"5492","16/02/2010","SUSP_AUT"
"5503","03/11/2009","SUSP_AUT"
"5648","03/11/2009","SUSP_AUT"
"5675","09/11/2009","SUSP_AUT"
"5679","CHEQUE DEVUELTO / NO PAGO CARGO PAGO ANTIPADO O.K. LUCY","CXC//21-AGO-09//LUCY"
"5679","20/11/2009","SUSP_AUT"
"5688","16/12/2009","SUSP_AUT"
"5689","CH. DEVUELTO PAGO CARGO DEL 20 % O.K.","CXC//05-AGO-09//LUCY"
"5826","CHEQUE DEVUELTO $1400.00 CARGO 20% $280.00","CXC//24-JUL-09//LUCY"
"5830","09/11/2009","SUSP_AUT"
"5861","09/02/2010","SUSP_AUT"
"5884","09/02/2010","SUSP_AUT"
"5918","CLIENTE EN ABOGADO","CXC"
"5976","16/12/2009","SUSP_AUT"
"6005","09/02/2010","SUSP_AUT"
"6031","16/12/2009","SUSP_AUT"
"6098","16/02/2010","SUSP_AUT"
"6169","12/11/2009","SUSP_AUT"
"6173","09/02/2010","SUSP_AUT"
"6177","09/02/2010","SUSP_AUT"
"6178","03/12/2009","SUSP_AUT"
"6204","09/02/2010","SUSP_AUT"
"6206","16/02/2010","SUSP_AUT"
"6396","CLIENTE MOROSO  ACTUALMENTE SE ENCUENTRA EN ABOGADO ","CARLOS ESPINO "
"6498","16/12/2009","SUSP_AUT"
"6537","CH. DEVUELTO $26,666.86 PAGO ANTICIPADO SIN CARGO DEL 20%, O.K.AUTORIZADO","CXC//18-JUL-09//LUCY"
"6554","CHEQUE DEVUELTO DEBE CARGO DEL 20%","CXC//11-SEP-09//LUCY"
"6601","O.K. PAGADO CH. DEVUELTO CON EL CARGO DEL 20 % $3260.33","CXC//11-08-09//LUCY"
"6679","03/12/2009","SUSP_AUT"
"6683","CHEQUE DEVUELTO POR $44,666.36 SIN CARGOS O.K. FUE POR LA FIRMA","CXC//11-08-09//LUCY"
"6683","03/11/2009","SUSP_AUT"
"6701","16/02/2010","SUSP_AUT"
"6740","CH. DEVUELTO PAGO ANTICIPADO O.K.SIN EL CARGO","CXC//05-OCT-09//LUCY"
"6873","16/12/2009","SUSP_AUT"
"6879","16/02/2010","SUSP_AUT"
"6882","09/02/2010","SUSP_AUT"
"6887","O.K. PAGADO CH. DEVUELTO CON EL CARGO DEL 20% $3282.68","CXC//11-08-09//LUCY"
"6893","23/11/2009","SUSP_AUT"
"6898","09/02/2010","SUSP_AUT"
"6899","CH. DEVUELTO $11,713.35 SIN EL CARGO O.K. LUCY","CXC//04-AGOSTO-09//L"
"6912","DEBE CARGOS","CXC//26-AGO-09//LUCY"
"6918","09/02/2010","SUSP_AUT"
"9152","16/02/2010","SUSP_AUT"
"9832","04/11/2009","SUSP_AUT"
"10897","CH. DEVUELTO","CXC/24/SEP/09//LUCY"
"11033","AUTORIZO LINEA DE CREDITO LIC. JOSE ANTONIO $300,000.00","CXC 21-JUL-09"
"11294","CH. DEVUELTO DEBE SALDO Y CARGO LUCY","CXC//10-SEP-09//LUCY"
"11359","SE LE AUTORIZO LINEA DE CREDITO POR $40,000.00 FIRMANDO PAGARE ,VISITA ING.VALENZUELA","CXC//28-JUL-09//LUCY"
"11359","FILIAL DE GCI PUBLICIDAD E IMPRESION Y DE LEZAMA MACEDAS ADRIANA","CXC//29-JUL-09//LUCY"
"11359","09/02/2010","SUSP_AUT"
"12076","19/11/2009","SUSP_AUT"
"12146","16/02/2010","SUSP_AUT"
"12369","09/02/2010","SUSP_AUT"
"12726","CH. DEVUELTO SIN VENTA SALVO BUEN COBRO Y NO PASO","CXC//07/08/09//LUCY"
"12739","16/02/2010","SUSP_AUT"
"12911","bloqueado.Eva Suc. Tacuba No paso por su material.","CXC/MOSTRADOR"
"13049","16/12/2009","SUSP_AUT"
"13336","03/12/2009","SUSP_AUT"
"14136","09/02/2010","SUSP_AUT"
"14754","09/02/2010","SUSP_AUT"
